team,player,player_id,player_score,reason
Atlanta Hawks,Onyeka Okongwu,1630168,123.548,No adjustments
Atlanta Hawks,Garrison Mathews,1629726,112.601,No adjustments
Atlanta Hawks,Bogdan Bogdanović,203992,111.897,No adjustments
Atlanta Hawks,Dominick Barlow,1631230,110.588,Neutral: Not directly referenced in the title. (0)
Atlanta Hawks,Zaccharie Risacher,1642258,109.325,No adjustments
Atlanta Hawks,Dyson Daniels,1630700,108.353,Neutral: Not directly referenced in the title. (0)
Atlanta Hawks,Mouhamed Gueye,1631243,107.61,Neutral: Not directly referenced in the title. (0)
Atlanta Hawks,Keaton Wallace,1630811,99.669,No adjustments
Atlanta Hawks,Vít Krejčí,1630249,97.501,No adjustments
Atlanta Hawks,David Roddy,1631223,92.397,No adjustments
Atlanta Hawks,Larry Nance Jr.,1626204,67.249,No adjustments
Atlanta Hawks,Clint Capela,203991,0.0,"INJURED: Status: Out. Feb 6: Capela (personal) is out for Friday's game against the Bucks, Brad Rowland of the Locked On Podcast Network reports."
Atlanta Hawks,Daeqwon Plowden,1631342,0.0,INJURED: Status: Out. Feb 6: The Hawks transferred Ploweden from the G League's College Park Skyhawks on Friday.
Atlanta Hawks,De'Andre Hunter,1629631,0.0,"INJURED: Status: Day-To-Day. Feb 6: The Hawks traded Hunter to the Cavaliers in exchange for Caris LeVert, Georges Niang, three second-round picks and two picks swaps Thursday, Shams Charania of ESPN reports."
Atlanta Hawks,Jalen Johnson,1630552,0.0,"INJURED: Status: Out. Jan 29: Johnson has suffered a torn labrum in his left shoulder and will miss the rest of the 2024-25 season, NBA reporter Chris Haynes announced Wednesday."
Atlanta Hawks,Kobe Bufkin,1641723,0.0,"INJURED: Status: Out. Dec 18: Bufkin will miss the remainder of the 2024-25 season as he undergoes surgery to address his right shoulder instability, Michael Scotto of USA Today reports."
Atlanta Hawks,Trae Young,1629027,0.0,"INJURED: Status: Day-To-Day. Feb 6: Young (Achilles) is listed as probable for Friday's game versus the Bucks, Brad Rowland of the Locked On Podcast Network reports."
Brooklyn Nets,De'Anthony Melton,1629001,193.244,No adjustments
Brooklyn Nets,D'Angelo Russell,1626156,134.094,No adjustments
Brooklyn Nets,Day'Ron Sharpe,1630549,124.082,No adjustments
Brooklyn Nets,Dariq Whitehead,1641727,113.382,No adjustments
Brooklyn Nets,Tosan Evbuomwan,1641787,109.489,No adjustments
Brooklyn Nets,Ben Simmons,1627732,106.838,"Neutral: Mentioned in the title, but no sentiment is implied. (0)"
Brooklyn Nets,Reece Beekman,1641736,104.74,No adjustments
Brooklyn Nets,Cui Yongxi,1642385,103.099,No adjustments
Brooklyn Nets,Trendon Watford,1630570,97.695,No adjustments
Brooklyn Nets,Jaylen Martin,1641798,88.99,No adjustments
Brooklyn Nets,Cameron Johnson,1629661,85.721,No adjustments
Brooklyn Nets,Jalen Wilson,1630592,82.369,No adjustments
Brooklyn Nets,Ziaire Williams,1630533,71.043,No adjustments
Brooklyn Nets,Keon Johnson,1630553,65.725,No adjustments
Brooklyn Nets,Tyrese Martin,1631213,54.06,No adjustments
Brooklyn Nets,Nic Claxton,1629651,41.939,Neutral: Not directly referenced in the title. (0)
Brooklyn Nets,Cam Thomas,1630560,0.0,INJURED: Status: Out. Jan 31: The Nets announced Friday that Thomas (hamstring) had a follow-up MRI that revealed appropriate healing. He will continue to progress with individual on-court workouts and is expected to return shortly after the All-Star break.
Brooklyn Nets,Maxwell Lewis,1641721,0.0,"INJURED: Status: Out. Jan 3: The Nets announced Friday that Lewis has suffered a fractured left tibia and his return timetable is to be determined, Erik Slater of ClutchPoints.com reports."
Brooklyn Nets,Noah Clowney,1641730,0.0,INJURED: Status: Out. Jan 31: The Nets announced Friday that Clowney will likely remain out through the All-Star break due to a left ankle sprain.
Boston Celtics,Drew Peterson,1641809,204.971,No adjustments
Boston Celtics,Jayson Tatum,1628369,193.459,No adjustments
Boston Celtics,Derrick White,1628401,192.995,No adjustments
Boston Celtics,Payton Pritchard,1630202,191.899,No adjustments
Boston Celtics,Luke Kornet,1628436,191.612,No adjustments
Boston Celtics,Jaylen Brown,1627759,186.738,Neutral: Not directly referenced in the title. (0)
Boston Celtics,Al Horford,201143,185.756,No adjustments
Boston Celtics,Sam Hauser,1630573,184.184,Neutral: Not directly referenced in the title. (0)
Boston Celtics,Neemias Queta,1629674,176.555,No adjustments
Boston Celtics,Jordan Walsh,1641775,170.078,No adjustments
Boston Celtics,Kristaps Porziņģis,204001,148.729,No adjustments
Boston Celtics,Xavier Tillman,1630214,139.37,No adjustments
Boston Celtics,Baylor Scheierman,1631248,80.393,No adjustments
Boston Celtics,Jrue Holiday,201950,0.0,"INJURED: Status: Out. Feb 6: Holiday is out for Thursday's game versus the Mavericks, Taylor Snow of the Celtics' official site reports."
Boston Celtics,JD Davison,1631120,-66.536,Neutral: Not directly referenced in the title. (0)
Charlotte Hornets,Jared Rhoden,1631197,182.084,No adjustments
Charlotte Hornets,Moussa Diabaté,1631217,149.677,No adjustments
Charlotte Hornets,Josh Okogie,1629006,143.569,No adjustments
Charlotte Hornets,Grant Williams,1629684,137.369,No adjustments
Charlotte Hornets,Isaiah Wong,1631209,122.122,No adjustments
Charlotte Hornets,LaMelo Ball,1630163,116.166,Neutral: Not directly referenced in the title. (0)
Charlotte Hornets,Cody Martin,1628998,113.182,No adjustments
Charlotte Hornets,Miles Bridges,1628970,110.841,"Positive: Acquired in a trade, typically considered a positive sentiment (+10) | Neutral: Not directly referenced in the title. (0)"
Charlotte Hornets,Seth Curry,203552,109.934,Neutral: Not directly referenced in the title. (0)
Charlotte Hornets,DaQuan Jeffries,1629610,105.212,No adjustments
Charlotte Hornets,Brandon Miller,1641706,87.278,No adjustments
Charlotte Hornets,Vasilije Micić,203995,78.336,No adjustments
Charlotte Hornets,Josh Green,1630182,77.232,Neutral: Not directly referenced in the title. (0)
Charlotte Hornets,Tre Mann,1630544,75.115,No adjustments
Charlotte Hornets,Nick Smith Jr.,1641733,71.11,No adjustments
Charlotte Hornets,KJ Simpson,1642354,67.834,No adjustments
Charlotte Hornets,Tidjane Salaün,1642275,64.74,No adjustments
Charlotte Hornets,Taj Gibson,201959,52.181,No adjustments
Charlotte Hornets,Mark Williams,1631109,0.0,"INJURED: Status: Out. Feb 6: The Hornets traded Williams to the Lakers on Wednesday for Dalton Knecht, Cam Reddish, a first-round pick and a pick swap, Shams Charania of ESPN reports."
Chicago Bulls,Jevon Carter,1628975,157.044,Neutral: Not directly referenced in the title. (0)
Chicago Bulls,E.J. Liddell,1630604,155.368,No adjustments
Chicago Bulls,Chris Duarte,1630537,127.794,Neutral: Not directly referenced in the title. (0)
Chicago Bulls,Matas Buzelis,1641824,121.671,No adjustments
Chicago Bulls,Jalen Smith,1630188,110.778,No adjustments
Chicago Bulls,Nikola Vučević,202696,109.847,No adjustments
Chicago Bulls,Julian Phillips,1641763,105.64,No adjustments
Chicago Bulls,Josh Giddey,1630581,99.479,Neutral: Not directly referenced in the title. (0)
Chicago Bulls,Coby White,1629632,94.797,No adjustments
Chicago Bulls,Ayo Dosunmu,1630245,86.185,Neutral: Not directly referenced in the title. (0)
Chicago Bulls,Patrick Williams,1630172,85.011,No adjustments
Chicago Bulls,Torrey Craig,1628470,83.023,Neutral: Not directly referenced in the title. (0)
Chicago Bulls,Adama Sanogo,1641766,0.0,INJURED: Status: Day-To-Day. Feb 6: Sanogo (knee) will not play Wednesday against the Timberwolves.
